,base,clouds,cod,coord,dt,id,main,message,name,rain,sys,visibility,weather,wind
0,stations,{'all': 64},200,"{'lon': 114.09, 'lat': 71.97}",1535927653.0,2017155.0,"{'temp': 1.99, 'pressure': 1008.46, 'humidity': 87, 'temp_min': 1.99, 'temp_max': 1.99, 'sea_level': 1020.09, 'grnd_level': 1008.46}",,Saskylakh,,"{'message': 2.2565, 'country': 'RU', 'sunrise': 1535833963, 'sunset': 1535890212}",,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 8.37, 'deg': 280.509}"
1,stations,{'all': 44},200,"{'lon': 37.71, 'lat': 48.53}",1535927707.0,705104.0,"{'temp': 15.54, 'pressure': 1014.37, 'humidity': 64, 'temp_min': 15.54, 'temp_max': 15.54, 'sea_level': 1033.38, 'grnd_level': 1014.37}",,Kostyantynivka,,"{'message': 0.004, 'country': 'UA', 'sunrise': 1535856522, 'sunset': 1535904452}",,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]","{'speed': 1.67, 'deg': 23.5093}"
2,stations,{'all': 90},200,"{'lon': -133.03, 'lat': 69.44}",1535926980.0,6170031.0,"{'temp': 2, 'pressure': 1016, 'humidity': 80, 'temp_min': 2, 'temp_max': 2}",,Tuktoyaktuk,,"{'type': 1, 'id': 3555, 'message': 0.0489, 'country': 'CA', 'sunrise': 1535894366, 'sunset': 1535948438}",16093.0,"[{'id': 521, 'main': 'Rain', 'description': 'shower rain', 'icon': '09d'}]","{'speed': 9.3, 'deg': 290, 'gust': 12.9}"
3,stations,{'all': 12},200,"{'lon': 150.8, 'lat': -2.57}",1535927708.0,2094342.0,"{'temp': 26.49, 'pressure': 1024.67, 'humidity': 100, 'temp_min': 26.49, 'temp_max': 26.49, 'sea_level': 1025.72, 'grnd_level': 1024.67}",,Kavieng,{'3h': 0.805},"{'message': 0.0063, 'country': 'PG', 'sunrise': 1535831667, 'sunset': 1535875095}",,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]","{'speed': 1.97, 'deg': 232.509}"
4,stations,{'all': 20},200,"{'lon': -70.91, 'lat': -53.16}",1535925600.0,3874787.0,"{'temp': 5, 'pressure': 998, 'humidity': 80, 'temp_min': 5, 'temp_max': 5}",,Punta Arenas,,"{'type': 1, 'id': 4642, 'message': 0.0075, 'country': 'CL', 'sunrise': 1535887069, 'sunset': 1535926142}",10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]","{'speed': 15.9, 'deg': 270, 'gust': 22.1}"
5,stations,{'all': 20},200,"{'lon': 147.06, 'lat': -42.78}",1535925600.0,2155415.0,"{'temp': 5, 'pressure': 1029, 'humidity': 75, 'temp_min': 5, 'temp_max': 5}",,New Norfolk,,"{'type': 1, 'id': 8195, 'message': 0.0032, 'country': 'AU', 'sunrise': 1535834134, 'sunset': 1535874459}",10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]","{'speed': 3.6, 'deg': 330}"
6,stations,{'all': 20},200,"{'lon': 115.35, 'lat': -33.64}",1535927709.0,2075265.0,"{'temp': 13.79, 'pressure': 1030.1, 'humidity': 100, 'temp_min': 13.79, 'temp_max': 13.79, 'sea_level': 1031.28, 'grnd_level': 1030.1}",,Busselton,,"{'message': 0.0028, 'country': 'AU', 'sunrise': 1535841284, 'sunset': 1535882516}",,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]","{'speed': 5.37, 'deg': 294.009}"
7,stations,{'all': 12},200,"{'lon': 172.79, 'lat': 3.07}",1535927710.0,2110227.0,"{'temp': 27.34, 'pressure': 1023.62, 'humidity': 100, 'temp_min': 27.34, 'temp_max': 27.34, 'sea_level': 1023.62, 'grnd_level': 1023.62}",,Butaritari,,"{'message': 0.0034, 'country': 'KI', 'sunrise': 1535826206, 'sunset': 1535869998}",,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]","{'speed': 0.77, 'deg': 145.509}"
8,stations,{'all': 75},200,"{'lon': 147.16, 'lat': -9.47}",1535922000.0,2088122.0,"{'temp': 25, 'pressure': 1011, 'humidity': 88, 'temp_min': 25, 'temp_max': 25}",,Port Moresby,,"{'type': 1, 'id': 8151, 'message': 0.0092, 'country': 'PG', 'sunrise': 1535832765, 'sunset': 1535875749}",10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 4.1, 'deg': 130}"
9,stations,{'all': 92},200,"{'lon': 24.73, 'lat': -34}",1535927711.0,986717.0,"{'temp': 14.14, 'pressure': 1015.91, 'humidity': 100, 'temp_min': 14.14, 'temp_max': 14.14, 'sea_level': 1025.93, 'grnd_level': 1015.91}",,Kruisfontein,{'3h': 2.43},"{'message': 0.0029, 'country': 'ZA', 'sunrise': 1535863029, 'sunset': 1535904260}",,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]","{'speed': 8.07, 'deg': 266.509}"
10,,,404,,,,,city not found,,,,,,
11,stations,{'all': 40},200,"{'lon': -68.31, 'lat': -54.81}",1535922000.0,3833367.0,"{'temp': 4.45, 'pressure': 991, 'humidity': 76, 'temp_min': 4, 'temp_max': 5}",,Ushuaia,,"{'type': 1, 'id': 4754, 'message': 0.0218, 'country': 'AR', 'sunrise': 1535886589, 'sunset': 1535925379}",10000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]","{'speed': 5.1, 'deg': 250, 'gust': 11.3}"
12,stations,{'all': 0},200,"{'lon': 149.07, 'lat': -23.58}",1535927713.0,2175403.0,"{'temp': 22.74, 'pressure': 1009.35, 'humidity': 30, 'temp_min': 22.74, 'temp_max': 22.74, 'sea_level': 1032.37, 'grnd_level': 1009.35}",,Bluff,,"{'message': 0.041, 'country': 'AU', 'sunrise': 1535832794, 'sunset': 1535874815}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 3.47, 'deg': 125.009}"
13,stations,{'all': 20},200,"{'lon': -73.13, 'lat': -41.77}",1535925600.0,3897334.0,"{'temp': 11, 'pressure': 1025, 'humidity': 66, 'temp_min': 11, 'temp_max': 11}",,Calbuco,,"{'type': 1, 'id': 4672, 'message': 0.0035, 'country': 'CL', 'sunrise': 1535886863, 'sunset': 1535927396}",10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]","{'speed': 3.1, 'deg': 230}"
14,stations,{'all': 92},200,"{'lon': 38.73, 'lat': 8.96}",1535927714.0,344979.0,"{'temp': 10.59, 'pressure': 774.92, 'humidity': 89, 'temp_min': 10.59, 'temp_max': 10.59, 'sea_level': 1022.12, 'grnd_level': 774.92}",,Lebu,,"{'message': 0.003, 'country': 'ET', 'sunrise': 1535858181, 'sunset': 1535902353}",,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]","{'speed': 1.22, 'deg': 289.009}"
15,,,404,,,,,city not found,,,,,,
16,stations,{'all': 0},200,"{'lon': -76.2, 'lat': -13.71}",1535925600.0,3932145.0,"{'temp': 22, 'pressure': 1012, 'humidity': 30, 'temp_min': 22, 'temp_max': 22}",,Pisco,,"{'type': 1, 'id': 4405, 'message': 0.0037, 'country': 'PE', 'sunrise': 1535886486, 'sunset': 1535929220}",10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 6.2, 'deg': 230}"
17,stations,{'all': 40},200,"{'lon': -159.32, 'lat': 22.08}",1535925360.0,5848280.0,"{'temp': 27.89, 'pressure': 1012, 'humidity': 87, 'temp_min': 26.7, 'temp_max': 28.9}",,Kapaa,,"{'type': 1, 'id': 833, 'message': 0.0032, 'country': 'US', 'sunrise': 1535905253, 'sunset': 1535950312}",16093.0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]","{'speed': 6.7, 'deg': 10}"
